crop_id,crop_filename,original_file_name,total_gt,total_predictions,fp_count,fn_count,error_type,error_idx,category_id,category_name,bbox_x,bbox_y,bbox_w,bbox_h,confidence,best_iou
0,PMC1064076_6_table0.jpg,PMC1064076_6.jpg,62,61,0,1,FN,0,3,table row,15.450000000000003,269.74,685.33,18.65,,
6,PMC1156947_3_table1.jpg,PMC1156947_3.jpg,18,19,1,0,FP,0,5,table projected row header,14.199951171875,14.0620756149292,275.877197265625,12.845414161682129,0.7081717848777771,0.0
11,PMC1242256_5_table0.jpg,PMC1242256_5.jpg,17,18,1,0,FP,0,6,table spanning cell,222.6221923828125,13.177690505981445,125.7037353515625,48.65753173828125,0.6959913372993469,0.0
17,PMC1397868_5_table0.jpg,PMC1397868_5.jpg,22,20,0,2,FN,0,6,table spanning cell,115.91,75.71000000000001,505.9,20.63,,
17,PMC1397868_5_table0.jpg,PMC1397868_5.jpg,22,20,0,2,FN,1,6,table spanning cell,115.91,135.07,505.9,13.01,,
20,PMC1436013_5_table0.jpg,PMC1436013_5.jpg,51,51,5,5,FP,0,3,table row,14.17768669128418,258.8420715332031,617.42333984375,17.03265380859375,0.9888677000999451,0.3343913077286856
20,PMC1436013_5_table0.jpg,PMC1436013_5.jpg,51,51,5,5,FP,1,3,table row,14.124236106872559,438.0194396972656,617.4707641601562,30.541351318359375,0.9852359294891357,0.3488022368578484
20,PMC1436013_5_table0.jpg,PMC1436013_5.jpg,51,51,5,5,FP,2,3,table row,13.843026161193848,366.5781555175781,617.476318359375,13.27008056640625,0.7791278958320618,0.36642743164509195
20,PMC1436013_5_table0.jpg,PMC1436013_5.jpg,51,51,5,5,FP,3,3,table row,13.797520637512207,312.5233459472656,618.0175170898438,12.935455322265625,0.719122588634491,0.48970977680998273
20,PMC1436013_5_table0.jpg,PMC1436013_5.jpg,51,51,5,5,FP,4,3,table row,13.924570083618164,355.21099853515625,617.8878173828125,12.824859619140625,0.6744136214256287,0.4623781172477988
20,PMC1436013_5_table0.jpg,PMC1436013_5.jpg,51,51,5,5,FN,0,5,table projected row header,15.340000000000003,308.1,617.45,12.95,,
20,PMC1436013_5_table0.jpg,PMC1436013_5.jpg,51,51,5,5,FN,1,3,table row,15.340000000000003,308.1,617.45,12.95,,
20,PMC1436013_5_table0.jpg,PMC1436013_5.jpg,51,51,5,5,FN,2,3,table row,15.340000000000003,359.88,617.45,12.92,,
